name,full_name,position,price
Danilo,Danilo Luiz da Silva,Defender,4.3
Douglas Santos,Douglas dos Santos Justino de Melo,Defender,4.3
Bremer,Gleison Bremer Silva Nascimento,Defender,4.3
Léo Pereira,Leonardo Pereira,Defender,4.2
Vinícius Júnior,Vinícius José Paixão de Oliveira Júnior,Midfielder,10
Matheus Cunha,Matheus Santos Carneiro da Cunha,Forward,7.3
Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,Midfielder,6.5
Luiz Henrique,Luiz Henrique André Rosa da Silva,Forward,6.1
Igor Thiago,Igor Thiago Nascimento Rodrigues,Forward,5.9
Rayan,Rayan Vitor Simplício Rocha,Forward,5.6
Endrick,Endrick Felipe Moreira de Sousa,Forward,5.5
Ederson,Ederson Santana de Moraes,Goalkeeper,5
Alisson Becker,Alisson Ramsés Becker,Goalkeeper,5
Fabinho,Fábio Henrique Tavares,Midfielder,5.2
Danilo,Danilo dos Santos de Oliveira,Midfielder,5.6
Casemiro,Carlos Henrique Casimiro,Midfielder,6.3
Lucas Paquetá,Lucas Tolentino Coelho de Lima,Midfielder,6.5
João Paulo,João Paulo Moreira Fernandes,Midfielder,4.6
Yannick Semedo,Jair Semedo Monteiro,Midfielder,4.7
Kevin Pina,Kevin Lenini Gonçalves Pereira de Pina,Midfielder,4.7
Steven Moreira,Steven Moreira,Defender,3.9
Wagner Pina,Wagner Fabrício Cardoso de Pina,Defender,3.8
Pico,Roberto Carlos Lopes,Defender,3.7
Kelvin Pires,Kelvin Spencer Pires,Defender,3.6
Sidny Cabral,Sidny Lopes Cabral,Defender,3.5
Diney,Edilson Alberto Monteiro Sanches Borges,Defender,3.5
Ryan Mendes,Ryan Isaac Mendes da Graça,Forward,4.9
Jovane Cabral,Jovane Eduardo Borges Cabral,Forward,4.9
Dailon Livramento,Dailon Rocha Livramento do Rosário,Forward,4.9
Nuno da Costa,Nuno Miguel da Costa Jóia,Forward,4.7
Garry Rodrigues,Garry Mendes Rodrigues,Forward,4.7
Willy Semedo,Willy Johnson Semedo Afonso,Forward,4.5
