tm_id,tm_name,understat_id,understat_name
94414,Héctor Yuste,4180,Héctor Yuste
96540,Alfredo Ortuño,4181,Alfredo Ortuño
49101,Gary Taylor-Fletcher,4532,Gary Taylor-Fletcher
120610,Diafra Sakho,656,Diafra Sakho
183286,Diego Poyet,1092,Diego Poyet
111048,Benjamin Jeannot,3460,Benjamin Jeannot
129386,Zouhair Feddal,2388,Zouhair Feddal
139173,Achraf Lazaar,1838,Achraf Lazaar
167727,Andrea Belotti,1186,Andrea Belotti
206542,Robin Quaison,1275,Robin Quaison
118689,Leonardo Spinazzola,1500,Leonardo Spinazzola
173859,Davide Zappacosta,1178,Davide Zappacosta
102745,Luca Ceppitelli,1550,Luca Ceppitelli
12907,Alessio Cragno,3927,Alessio Cragno
192930,Alikhan Shavaev,2844,Alikhan Shavaev
51190,Marc Vucinovic,4295,Marc Vucinovic
336697,Philipe Sampaio,5928,Philipe Sampaio
208715,Fredy Hinestroza,4086,Fredy Hinestroza
174344,Fayçal Fajr,2319,Faycal Fajr
205938,Mario Pašalić,1134,Mario Pasalic
119622,Javi Lara,4135,Javi Lara
142419,Raúl Navas,4130,Raúl Navas
158849,Jon Errasti,2620,Jon Errasti
178425,Dani García,2130,Dani García
197545,Ander Capa,2125,Ander Capa
51559,Mikel Arruabarrena,2591,Mikel Arruabarrena
77026,Raúl Albentosa,2333,Raúl Albentosa
89313,Eneko Bóveda,2393,Eneko Bóveda
89618,Xabi Irureta,2124,Xabi Irureta
156128,Andriy Pylyavskyi,2982,Andriy Pylyavskyi
169052,Edenilson,1097,Edenilson
32113,Armando Izzo,1096,Armando Izzo
167741,Mattia Valoti,3899,Mattia Valoti
73048,Ivan Martic,3932,Ivan Martic
98888,Artur Ioniță,1604,Artur Ionita
163222,Grégoire Defrel,1468,Gregoire Defrel
24305,Giuseppe De Feudis,3855,Giuseppe De Feudis
67556,Milan Djuric,3856,Milan Djuric
84845,Francesco Renzetti,1632,Francesco Renzetti
111347,Lorenzo Tonelli,1394,Lorenzo Tonelli
163683,Manuel Pucciarelli,1318,Manuel Pucciarelli
200056,Elseid Hysaj,1375,Elseid Hysaj
56912,Levan Mchedlidze,1319,Levan Mchedlidze
6020,Francesco Tavano,3810,Francesco Tavano
84903,Mirko Valdifiori,1184,Mirko Valdifiori
87884,Mário Rui,1792,Mário Rui
94936,Vincent Laurini,1306,Vincent Laurini
99254,Luigi Sepe,1392,Luigi Sepe
223053,Quini,2158,Quini
34564,Xisco,4176,Xisco
57482,Mohamed Youssouf,10713,Mohamed Youssouf
192009,Unai López,4091,Unai López
191422,Mahmoud Dahoud,205,Mahmoud Dahoud
229604,Gerónimo Rulli,2225,Gerónimo Rulli
45846,Saidi Ntibazonkiza,3529,Saidi Ntibazonkiza
195171,Samu Castillejo,2303,Samu Castillejo
256680,Juanpi,2343,Juanpi
